clave,descripcion
000,NINGUNO
999,DESEMPLEO
A00,COLERA
A01,FIEBRE TIFOIDEA Y PARATIFOIDEA
A02,OTRAS INFECCIONES POR SALMONELLA
A03,SHIGELOSIS
A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS
A05,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS
A06,AMEBIASIS
A07,OTRAS ENFERMEDADES INTESTINALES POR PROTOZOARIOS
A08,INFECCIONES INTESTINALES VIRALES Y OTROS ORGANISMOS ESPECIFICADOS
A09,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
A15,TUBERCULOSIS RESPIRATORIA CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A16,TUBERCULOSIS RESPIRATORIA NO CONFIRMADA BACTERIOLOGICA O HISTOLOGICAMENTE
A17,TUBERCULOSIS DEL SISTEMA NERVIOSO
A18,TUBERCULOSIS DE OTROS ORGANOS
A19,TUBERCULOSIS MILIAR
A20,PESTE
A21,TULAREMINA
A22,CARBUNCO (ANTRAX)
A23,BRUCELOSIS
A24,MUERMO Y MELIOIDOSIS
A25,FIEBRE POR MORDEDURA DE RATA
A26,ERISIPELOIDE
A27,LEPTOSPIROSIS
A28,OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A30,LEPRA (ENFERMEDAD DE HANSEN)
A31,INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS
A32,LISTERIOSIS
A33,TETANOS NEONATAL
A34,TETANOS OBSTETRICO
A35,OTROS TETANOS
A36,DIFTERIA
A37,TOS FERINA (TOS CONVULSIVA)
A38,ESCARLATINA
A39,INFECCION MENINGOCOCICA
A40,SEPTICEMIA ESTREPTOCOCICA
A41,OTRAS SEPTICEMIAS
A42,ACTINOMICOSIS
A43,NOCARDIOSIS
A44,BARTONELOSIS
A46,ERISIPELA
A48,OTRAS ENFERMEDADES BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A49,INFECCION BACTERIANA DE SITIO NO ESPECIFICADO
A50,SIFILIS CONGENITA
A51,SIFILIS PRECOZ
A52,SIFILIS TARDIA
A53,OTRAS SIFILIS Y LAS NO ESPECIFICADAS
A54,INFECCION GONOCOCICA
A55,LINFOGRANULOMA (VENEREO) POR CLAMIDIAS
A56,OTRAS ENFERMEDADES DE TRANSMISION SEXUAL DEBIDAS A CLAMIDIAS
A57,CHANCRO BLANDO
A58,GRANULOMA INGUINAL
A59,TRICOMONIASIS
A60,INFECCION ANOGENITAL DEBIDA A VIRUS DEL HERPES (SIMPLE)
A63,OTRAS ENFERMEDADES DE TRANSMISION SEXUAL NO CLASIFICADAS EN OTRA PARTE
A64,ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA
A65,SIFILIS NO VENEREA
A66,FRAMBESIA
A67,PINTO (CARATE)
A68,FIEBRES RECURRENTES
A69,OTRAS INFECCIONES CAUSADAS POR ESPIROQUETAS
A70,INFECCION DEBIDA A CHLAMYDIA PSITTACI
A71,TRACOMA
A74,OTRAS ENFERMEDADES CAUSADAS POR CLAMIDIAS
A75,TIFUS
A77,FIEBRE MACULOSA (RICKETTSIOSIS TRANSMITIDA POR GARRAPATAS)
A78,FIEBRE Q
A79,OTRAS RICKETTSIOSIS
A80,POLIOMIELITIS AGUDA
A81,INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS LENTO
A82,RABIA
A83,ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS
A84,ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS
A85,OTRAS ENCEFALITIS VIRALES NO CLASIFICADAS EN OTRA PARTE
A86,ENCEFALITIS VIRAL NO ESPECIFICADA
A87,MENINGITIS VIRAL
A88,OTRAS INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL NO CLASIFICADAS EN OTRA PARTE
A89,INFECCION VIRAL DEL SISTEMA NERVIOSO CENTRAL NO ESPECIFICADA
A90,FIEBRE DEL DENGUE (DENGUE CLASICO)
A91,FIEBRE DEL DENGUE HEMORRAGICO
A92,OTRAS FIEBRES VIRALES TRANSMITIDAS POR MOSQUITOS
A93,OTRAS FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS NO CLASIFICADAS EN OTRA PARTE
A94,FIEBRE VIRAL TRANSMITIDA POR ARTROPODOS NO ESPECIFICADA
A95,FIEBRE AMARILLA
A96,FIEBRE HEMORRAGICA POR ARENAVIRUS
A98,OTRAS FIEBRES VIRALES HEMORROGICAS NO CLASIFICADAS EN OTRA PARTE
A99,FIEBRE VIRAL HEMORRAGICA NO ESPECIFICADA
B00,INFECCIONES HERPETICAS (HERPES SIMPLE)
B01,VARICELA
B02,HERPES ZOSTER
B03,VIRUELA
B04,VIRUELA DE LOS MONOS
B05,SARAMPION
B06,RUBEOLA (SARAMPION ALEMAN)
B07,VERRUGAS VIRICAS
B08,OTRAS INFECCIONES VIRICAS CARACTERIZADAS POR LESIONES DE PIEL Y MEMBRANA MUCOSA NO CLASIFICADAS EN OTRA PARTE
B09,INFECCION VIRAL INESPECIFICA CARACTERIZADA POR LESIONES DE PIEL Y MEMBRANA MUCOSA
B15,HEPATITIS AGUDA TIPO A
B16,HEPATITIS AGUDA TIPO B
B17,OTRAS HEPATITIS VIRALES AGUDAS
B18,HEPATITIS VIRAL CRONICA
B19,HEPATITIS VIRAL SIN OTRA ESPECIFICACION
B20,ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH) RESULTANTE EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS
B21,ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH) RESULTANTE EN TUMORES MALIGNOS
B22,ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH) RESULTANTE EN OTRAS ENFERMEDADES ESPECIFICAS
B23,ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH) RESULTANTE EN OTRAS AFECCIONES
B24,ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH) SIN OTRA ESPECIFICACION
B25,ENFERMEDAD DEBIDA A VIRUS CITOMEGALICO
B26,PAROTIDITIS INFECCIOSA (PAPERAS)
B27,MONONUCLEOSIS INFECCIOSA
B30,CONJUNTIVITIS VIRAL
B33,OTRAS ENFERMEDADES VIRALES NO CLASIFICADAS EN OTRA PARTE
B34,INFECCION VIRAL DE SITIO NO ESPECIFICADO
B35,DERMATOFITOSIS
B36,OTRAS MICOSIS SUPERFICIALES
B37,CANDIDIASIS
B38,COCCIDIOIDOMICOSIS
B39,HISTOPLASMOSIS
B40,BLASTOMICOSIS
B41,PARACOCCIDIOIDOMICOSIS
B42,ESPOROTRICOSIS
B43,CROMOMICOSIS Y ABSCESO FEOMICOTICO
B44,ASPERGILOSIS
B45,CRIPTOCOCOSIS
B46,CIGOMICOSIS
B47,MICETOMA
B48,OTRAS MICOSIS NO CLASIFICADAS EN OTRA PARTE
B49,MICOSIS NO ESPECIFICADA
B50,PALUDISMO (MALARIA) DEBIDO A PLASMODIUM FALCIPARUM
B51,PALUDISMO (MALARIA) DEBIDO A PLASMODIUM VIVAX
B52,PALUDISMO (MALARIA) DEBIDO A PLASMODIUM MALARIAE
B53,OTRO PALUDISMO (MALARIA) CONFIRMADO PARASITOLOGICAMENTE
B54,PALUDISMO (MALARIA) NO ESPECIFICADO
B55,LEISHMANIASIS
B56,TRIPANOSOMIASIS AFRICANA
B57,ENFERMEDAD DE CHAGAS
B58,TOXOPLASMOSIS
B59,NEUMOCISTOSIS
B60,OTRAS ENFERMEDADES CAUSADAS POR PROTOZOARIOS NO CLASIFICADAS EN OTRA PARTE
B64,ENFERMEDAD DEBIDA A PROTOZOARIOS NO ESPECIFICADA
B65,ESQUISTOSOMIASIS (BILHARZIASIS)
B66,OTRAS INFECCIONES DEBIDAS A TREMATODOS
B67,EQUINOCOCOSIS
B68,TENIASIS
B69,CISTICERCOSIS
B70,DIFILOBOTRIASIS Y ESPARGANOSIS
B71,OTRAS INFECCIONES DEBIDAS A CESTODOS
B72,DRACONTIASIS
B73,ONCOCERCOSIS
B74,FILARIASIS
B75,TRIQUINOSIS
B76,ANQUILOSTOMIASIS Y NECATORIASIS
B77,ASCARIASIS
B78,ESTRONGILOIDIASIS
B79,TRICURIASIS
B80,ENTEROBIASIS
B81,OTRAS HELMINTIASIS INTESTINALES NO CLASIFICADAS EN OTRA PARTE
B82,PARASITOSIS INTESTINALES SIN OTRA ESPECIFICACION
B83,OTRAS HELMINTIASIS
B85,PEDICULOSIS Y PHTHIRIASIS
B86,ESCABIOSIS
B87,MIASIS
